(1.0, 53, 214.00109219551086)
(1.0, 53, 214.69709277153015)
(1.0, 53, 215.37260723114014)
(1.0, 53, 216.01760601997375)
(2.0, 102, 217.23711824417114)
(1.0, 53, 217.90011930465698)
(2.0, 85, 218.9536292552948)
(1.0, 54, 219.6246280670166)
(2.0, 85, 220.64062929153442)
(2.0, 102, 221.880628824234)
(1.0, 53, 222.50662851333618)
(1.0, 53, 223.17562913894653)
(1.0, 53, 223.78262877464294)
(1.0, 53, 224.394629240036)
(1.0, 53, 225.02462816238403)
(1.0, 53, 225.63962817192078)
(2.0, 84, 226.6106297969818)
(1.0, 53, 227.20113682746887)
(1.0, 53, 227.81013703346252)
(1.0, 53, 228.4021372795105)
(0.0, 24, 228.6951367855072)
(2.0, 102, 229.8711643218994)
(0.0, 24, 230.16416358947754)
(1.0, 53, 230.80016350746155)
(0.0, 24, 231.1431655883789)
(1.0, 53, 231.76316332817078)
(1.0, 53, 232.39216351509094)
(1.0, 53, 233.1641652584076)
(1.0, 53, 233.888174533844)
(2.0, 84, 235.0026819705963)
(1.0, 53, 235.7166805267334)
(2.0, 102, 236.9756805896759)
(2.0, 102, 238.1646807193756)
(1.0, 53, 238.77768087387085)
(2.0, 102, 240.0301911830902)
(1.0, 53, 240.65418982505798)
(1.0, 53, 241.25918984413147)
(1.0, 53, 241.887193441391)
(1.0, 53, 242.56118988990784)
(1.0, 53, 243.18220925331116)
(2.0, 86, 244.14820981025696)
(1.0, 53, 244.76021003723145)
(1.0, 53, 245.38620924949646)
(1.0, 53, 245.9932107925415)
(1.0, 54, 246.59620904922485)
(2.0, 102, 247.74120998382568)
(1.0, 53, 248.3502094745636)
(0.0, 24, 248.6432101726532)
(0.0, 24, 248.93420910835266)
(2.0, 102, 250.08121061325073)
(1.0, 53, 250.70020961761475)
(1.0, 53, 251.3582091331482)
(0.0, 24, 251.6622097492218)
(1.0, 53, 252.30571818351746)
(1.0, 53, 252.983717918396)
(1.0, 53, 253.60471844673157)
(2.0, 84, 254.70372700691223)
(1.0, 53, 255.3642349243164)
(1.0, 53, 256.1092345714569)
(1.0, 53, 256.73523449897766)
(1.0, 53, 257.37823462486267)
(2.0, 120, 258.75223445892334)
(2.0, 85, 259.7392346858978)
(0.0, 24, 260.0432345867157)
(1.0, 53, 260.70623445510864)
(1.0, 53, 261.3472492694855)
(1.0, 53, 262.0232710838318)
(2.0, 84, 263.04427099227905)
(2.0, 120, 264.45331048965454)
(1.0, 53, 265.129310131073)
(1.0, 53, 265.80834102630615)
(2.0, 102, 267.03534293174744)
(1.0, 53, 267.6733419895172)
(1.0, 53, 268.31334114074707)
(3.0, 149, 270.0068483352661)
(2.0, 86, 270.9988491535187)
(1.0, 53, 271.69884848594666)
(2.0, 120, 273.20287466049194)
(1.0, 53, 273.98887395858765)
(1.0, 53, 274.6508731842041)
(1.0, 53, 275.3138747215271)
(0.0, 24, 275.6388728618622)
(1.0, 53, 276.42387294769287)
(2.0, 84, 277.4273838996887)
(1.0, 53, 278.0713839530945)
(1.0, 53, 278.7053837776184)
(2.0, 120, 280.1194064617157)
(0.0, 24, 280.43040680885315)
(1.0, 53, 281.0844078063965)
(2.0, 103, 282.34241557121277)
(1.0, 53, 283.0004165172577)
(1.0, 53, 283.63441586494446)
(1.0, 53, 284.2514157295227)
(1.0, 53, 284.9214377403259)
(2.0, 102, 286.15995478630066)
(1.0, 53, 286.7919554710388)
(1.0, 53, 287.41895365715027)
(2.0, 102, 288.6719536781311)
(1.0, 53, 289.28597116470337)
(2.0, 84, 290.2189712524414)
(2.0, 102, 291.3819842338562)
(2.0, 102, 292.57398295402527)
(2.0, 102, 293.977010011673)
(2.0, 87, 295.1150109767914)
(2.0, 102, 296.4495413303375)
(2.0, 102, 297.8155417442322)
(4.0, 189, 300.1335813999176)
(0.0, 24, 300.4385814666748)
(1.0, 53, 301.0926101207733)
(2.0, 84, 302.0756094455719)
(1.0, 53, 302.7366073131561)
(2.0, 102, 303.9256250858307)
(3.0, 148, 305.6141588687897)
(1.0, 53, 306.2561593055725)
(1.0, 53, 306.8751571178436)
(1.0, 53, 307.50315713882446)
(2.0, 102, 308.74015712738037)
(1.0, 53, 309.39117884635925)
(2.0, 102, 310.59117555618286)
(2.0, 103, 311.79917550086975)
(2.0, 102, 312.99717569351196)
(1.0, 53, 313.6316854953766)
(2.0, 102, 314.86668586730957)
(1.0, 53, 315.6066851615906)
(2.0, 102, 316.83268570899963)
(1.0, 53, 317.51368522644043)
(1.0, 53, 318.2226872444153)
(2.0, 84, 319.3186855316162)
(1.0, 53, 319.9426851272583)
(1.0, 53, 320.5766851902008)
(3.0, 131, 322.139684677124)
(1.0, 53, 322.8096852302551)
(1.0, 53, 323.4601972103119)
(1.0, 53, 324.12619733810425)
(1.0, 53, 324.81271290779114)
(2.0, 84, 325.75271439552307)
(2.0, 102, 326.9592218399048)
(1.0, 53, 327.58322191238403)
(3.0, 131, 329.1712222099304)
(1.0, 53, 329.79622292518616)
(2.0, 84, 330.77922224998474)
(2.0, 102, 331.95423793792725)
(2.0, 102, 333.1322374343872)
(3.0, 132, 334.6217532157898)
(2.0, 84, 335.5957534313202)
(2.0, 84, 336.6867790222168)
(1.0, 53, 337.37178087234497)
(1.0, 53, 338.090779542923)
(1.0, 53, 338.78877902030945)
(1.0, 53, 339.53677916526794)
(2.0, 102, 340.76177883148193)
(1.0, 53, 341.40277910232544)
(2.0, 102, 342.6037793159485)
(3.0, 149, 344.33578062057495)
(1.0, 53, 344.99280166625977)
(0.0, 24, 345.2863132953644)
(3.0, 152, 347.07336163520813)
(1.0, 53, 347.6873617172241)
(3.0, 131, 349.2563621997833)
(4.0, 172, 351.2283630371094)
(2.0, 102, 352.3808698654175)
(1.0, 53, 353.02189683914185)
(1.0, 53, 353.65089654922485)
(1.0, 53, 354.26689648628235)
(1.0, 53, 354.88889956474304)
(1.0, 53, 355.5318965911865)
(1.0, 53, 356.239896774292)
(4.0, 171, 358.41191697120667)
(1.0, 53, 359.14491605758667)
(3.0, 131, 360.9634265899658)
(3.0, 131, 362.4664261341095)
(3.0, 131, 363.9839336872101)
(1.0, 53, 364.6559338569641)
(2.0, 102, 365.9109342098236)
(1.0, 53, 366.6149528026581)
(2.0, 103, 367.82395339012146)
(1.0, 53, 368.54895091056824)
(3.0, 131, 370.05095291137695)
(4.0, 153, 371.8529510498047)
